,date,pizza,burger,sushi,pasta,salad,steak,tacos,sandwich,noodles,omelette,burrito,risotto,dumplings,ravioli,lasagna,paella,curry,falafel,quiche,wrap,gyros,shawarma,bruschetta,calzone,fajitas,enchiladas,gnocchi,meatballs,wings,pancakes,waffles,crepes,donuts,tiramisu,cheesecake,brownie,bread,apple,banana,orange,grape,strawberry,blueberry,pineapple,kiwi,mango,pear,bread.1,milk,eggs,butter,cheese,yogurt,chicken,beef,pork,fish,rice,pasta.1,vegetables,fruits,cereal,sugar,salt,pepper,olive oil,vinegar,total,hour,is_holiday
42,2024-10-25 13:00:00,25,9,8,11,25,26,15,23,32,7,19,16,22,19,31,22,39,4,9,30,32,49,18,9,9,9,35,26,27,10,5,5,75,29,36,27,11,72,10,28,18,50,22,27,12,39,10,48,55,25,30,43,4,34,9,5,61,37,44,7,26,6,62,42,54,17,30,1731,13,0
43,2024-10-25 14:00:00,33,11,10,12,31,31,19,25,37,8,21,21,28,22,34,25,43,4,11,33,39,57,23,11,12,14,41,31,31,11,6,6,72,30,40,29,13,76,11,30,20,57,21,28,12,40,10,53,58,26,34,50,5,39,11,6,68,42,49,7,27,7,70,46,58,20,31,1937,14,0
44,2024-10-25 15:00:00,48,13,14,13,37,39,25,32,45,9,26,26,32,25,41,25,49,5,13,36,49,62,26,14,16,15,53,37,37,11,6,6,66,32,44,31,14,74,11,30,20,61,24,34,12,40,10,60,60,27,36,54,5,46,12,7,72,45,56,7,25,8,74,47,60,19,34,2142,15,0
45,2024-10-25 16:00:00,55,15,16,15,41,44,31,37,52,10,28,33,40,31,45,32,56,6,15,39,56,74,31,18,19,19,56,42,43,9,6,6,58,29,51,31,15,78,11,32,23,60,24,34,14,45,10,65,60,28,37,60,5,52,14,8,76,49,62,7,26,7,73,52,66,22,36,2340,16,0
46,2024-10-25 17:00:00,54,16,16,15,43,49,35,33,51,10,26,32,39,31,48,31,52,6,13,38,52,72,28,17,19,20,54,42,41,9,6,6,61,34,53,32,14,79,11,30,23,62,24,33,12,42,11,60,60,28,39,60,5,50,14,7,78,50,60,7,24,8,74,50,68,22,35,2324,17,0
47,2024-10-25 18:00:00,52,15,15,14,41,47,34,32,49,8,26,22,38,32,46,28,49,6,9,37,46,70,26,18,18,22,46,44,43,8,6,5,64,31,56,34,15,84,11,31,27,71,24,35,14,48,11,62,60,27,37,63,5,50,15,8,77,46,56,7,24,8,82,51,72,21,37,2316,18,0
48,2024-10-25 19:00:00,53,15,13,13,40,50,34,34,51,7,25,17,39,27,47,27,44,5,8,37,39,68,21,16,16,20,41,45,47,9,7,5,63,27,63,33,15,83,12,32,30,73,27,36,14,48,10,64,64,27,41,59,5,52,15,9,75,49,53,6,23,8,77,52,69,21,39,2294,19,0
49,2024-10-25 20:00:00,65,14,14,13,41,54,36,37,56,6,26,15,45,28,55,25,46,5,7,41,33,73,22,19,17,25,39,55,56,10,7,5,68,23,67,33,16,88,12,32,26,82,28,46,16,50,9,69,65,30,45,72,5,63,16,10,80,52,54,7,24,10,82,58,80,24,39,2471,20,0
50,2024-10-25 21:00:00,89,16,17,14,52,71,44,39,68,6,31,17,55,30,63,21,49,6,8,43,35,81,28,25,19,30,42,65,73,11,7,5,75,21,79,34,18,88,13,33,31,87,31,47,14,49,12,78,66,33,49,82,6,75,20,13,87,64,59,8,25,9,94,63,86,27,46,2782,21,0
51,2024-10-25 22:00:00,100,18,21,15,59,86,51,43,80,6,37,15,66,35,68,21,55,6,7,46,33,94,26,29,21,32,43,73,89,12,8,5,83,20,90,37,20,96,14,33,32,94,36,52,14,45,9,84,72,35,51,97,6,85,22,16,96,72,63,9,27,10,93,64,89,27,49,3042,22,0
52,2024-10-25 23:00:00,98,16,21,14,61,92,54,42,85,6,44,14,67,32,61,19,56,6,7,44,36,96,25,29,21,30,39,71,92,11,9,5,89,19,100,33,20,94,15,31,31,100,35,53,12,38,9,86,73,37,56,93,6,83,22,15,99,70,59,8,28,10,100,61,94,29,51,3062,23,0
53,2024-10-26 00:00:00,78,16,18,12,54,79,51,40,77,6,36,12,53,27,55,17,55,5,6,41,31,85,21,24,19,30,32,57,82,10,7,4,78,17,90,34,19,92,14,29,31,94,35,48,12,32,9,81,71,34,51,84,6,74,19,13,92,65,51,9,30,11,95,61,84,26,47,2778,0,1
54,2024-10-26 01:00:00,59,14,15,10,48,67,43,36,61,6,31,10,49,22,45,14,56,5,6,41,21,72,17,16,15,23,26,50,76,10,7,5,77,16,76,30,17,84,13,27,28,91,33,49,12,28,8,74,76,32,48,74,5,63,17,10,84,61,42,8,30,11,90,60,77,27,46,2500,1,1
55,2024-10-26 02:00:00,44,12,11,9,43,52,39,32,52,5,25,8,40,17,35,13,65,3,5,39,17,63,14,12,9,19,21,41,63,9,6,3,70,14,66,26,15,82,13,25,29,89,31,47,11,30,8,63,76,30,45,65,5,59,15,9,84,57,37,8,30,10,90,57,73,25,43,2263,2,1
56,2024-10-26 03:00:00,33,10,9,7,37,40,33,28,46,5,21,8,35,13,31,13,68,3,4,36,15,52,11,9,9,13,17,33,52,8,5,3,59,13,55,22,12,74,11,24,25,81,28,44,11,27,8,52,74,27,41,56,5,45,12,8,77,54,30,8,29,9,83,53,61,22,38,1985,3,1
57,2024-10-26 04:00:00,27,9,7,7,32,34,25,23,42,5,16,9,29,13,27,11,52,3,4,31,13,40,11,7,6,11,17,26,41,8,4,2,47,13,46,19,11,68,10,23,22,68,24,39,11,29,7,48,69,25,35,47,4,38,12,7,72,53,28,8,32,8,78,48,55,21,35,1752,4,1
58,2024-10-26 05:00:00,23,8,6,7,26,27,18,20,36,6,12,12,27,12,23,15,43,3,5,29,18,36,11,7,6,9,21,19,31,11,3,3,34,18,40,18,9,65,9,22,18,55,21,32,12,33,6,39,62,21,29,37,4,31,9,6,67,47,29,7,31,7,69,42,48,18,29,1557,5,1
59,2024-10-26 06:00:00,23,7,6,9,26,24,14,16,36,7,11,18,26,16,24,19,44,3,8,26,26,36,14,7,6,8,35,17,25,19,3,5,27,25,40,21,9,64,9,24,15,50,19,28,12,39,5,36,60,18,27,34,3,31,8,5,63,43,36,7,30,5,56,36,42,17,29,1537,6,1
60,2024-10-26 07:00:00,24,8,7,10,23,24,11,17,35,8,10,28,29,20,26,25,47,4,10,25,33,36,18,7,7,7,48,16,19,23,3,6,28,34,40,24,9,64,9,27,16,45,18,27,14,43,5,37,58,21,28,34,3,29,9,5,62,40,41,6,30,5,54,35,39,17,26,1596,7,1
61,2024-10-26 08:00:00,25,8,8,11,21,27,9,17,38,9,9,34,27,21,28,32,50,4,14,24,41,38,20,8,9,7,56,15,20,18,3,6,30,40,41,26,8,62,9,26,14,44,17,24,15,47,5,36,56,20,26,34,3,28,9,5,59,40,46,6,30,4,54,33,40,16,26,1636,8,1
62,2024-10-26 09:00:00,26,10,10,13,20,28,10,18,35,11,10,45,25,26,30,36,50,4,15,24,45,45,24,9,11,6,71,17,17,14,3,5,36,42,42,29,9,65,9,26,13,40,17,24,14,46,5,39,57,19,27,34,3,29,9,5,55,39,54,6,29,4,50,33,39,16,25,1702,9,1
63,2024-10-26 10:00:00,29,11,12,16,22,31,12,21,38,11,11,53,26,31,33,43,52,5,13,26,48,46,28,8,12,6,79,18,19,13,3,5,44,39,38,31,10,65,9,25,14,44,18,24,14,45,5,43,55,21,28,37,3,30,10,6,59,38,65,6,30,4,52,33,40,17,28,1811,10,1
64,2024-10-26 11:00:00,28,12,11,15,25,33,12,24,38,11,12,37,28,31,34,43,50,5,13,28,47,50,24,10,12,8,71,24,21,16,5,6,63,39,46,33,11,68,10,25,16,47,21,25,14,46,6,48,55,23,30,41,4,34,11,6,58,38,60,6,30,5,55,35,45,18,27,1883,11,1
65,2024-10-26 12:00:00,28,11,10,13,28,34,13,24,36,10,14,28,29,29,40,38,48,5,12,30,46,53,26,11,12,10,49,32,24,20,7,7,82,39,45,34,13,69,11,26,18,51,25,28,13,43,6,55,59,26,33,47,4,37,12,7,59,41,54,7,30,6,60,39,51,20,31,1958,12,1
66,2024-10-26 13:00:00,34,11,10,12,31,35,16,24,39,10,17,23,31,25,45,31,48,5,12,33,41,56,27,10,13,12,47,37,28,23,9,9,97,41,49,38,14,77,13,26,20,57,25,32,13,45,6,61,63,30,36,53,5,41,13,8,65,44,50,7,31,7,66,41,54,20,35,2087,13,1
67,2024-10-26 14:00:00,36,12,13,13,33,39,19,28,41,10,20,27,36,28,50,30,48,5,13,33,45,64,32,11,14,14,53,43,33,22,8,9,97,38,55,36,15,74,12,28,21,58,28,32,13,44,6,64,63,35,36,59,5,46,14,8,67,45,54,7,30,7,73,44,57,23,38,2214,14,1
68,2024-10-26 15:00:00,51,14,15,15,40,47,28,30,48,11,27,31,40,34,57,33,56,6,15,35,53,70,34,15,19,18,62,50,41,19,9,9,92,37,57,36,15,83,13,30,23,65,26,36,13,46,7,66,65,35,42,64,5,49,15,9,73,49,61,7,30,7,75,48,64,21,42,2438,15,1
